,Acetobacteraceae,Acholeplasmataceae,Acidaminococcaceae,Acidimicrobiaceae,Acidimicrobiales_unclassified,Acidobacteria_Gp1_family_incertae_sedis,Acidobacteria_Gp10_family_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Acidobacteria_Gp2_family_incertae_sedis,Acidobacteria_Gp3_family_incertae_sedis,Acidobacteria_Gp3_unclassified,Acidobacteria_Gp4_family_incertae_sedis,Acidobacteria_Gp5_family_incertae_sedis,Acidobacteria_Gp6_family_incertae_sedis,Acidobacteria_unclassified,Actinobacteria_unclassified,Actinomycetaceae,Actinomycetales_unclassified,Aerococcaceae,Aeromonadaceae,Alcaligenaceae,Alphaproteobacteria_family_incertae_sedis,Alphaproteobacteria_unclassified,Alteromonadaceae,Anaerolineaceae,Anaeroplasmataceae,Armatimonadetes_gp5_family_incetae_sedis,Aurantimonadaceae,Bacillaceae_1,Bacillales_Incertae_Sedis_XI,Bacillales_unclassified,Bacilli_unclassified,Bacteria_unclassified,Bacteriovoracaceae,Bacteroidaceae,Bacteroidales_unclassified,Bacteroidetes_unclassified,Bdellovibrionaceae,Beijerinckiaceae,Betaproteobacteria_unclassified,Bifidobacteriaceae,Bradyrhizobiaceae,Brucellaceae,Burkholderiaceae,Burkholderiales_incertae_sedis,Burkholderiales_unclassified,Campylobacteraceae,Carnobacteriaceae,Caulobacteraceae,Cellulomonadaceae,Chitinophagaceae,Chlamydiales_unclassified,Chloroflexi_unclassified,Chromatiaceae,Chthonomonadaceae,Clostridia_unclassified,Clostridiaceae_1,Clostridiales_Incertae_Sedis_III,Clostridiales_Incertae_Sedis_XI,Clostridiales_unclassified,Comamonadaceae,Conexibacteraceae,Coriobacteriaceae,Corynebacteriaceae,Coxiellaceae,Cryomorphaceae,Cystobacteraceae,Cytophagaceae,Deinococcaceae,Deltaproteobacteria_unclassified,Demequinaceae,Dermabacteraceae,Dermacoccaceae,Desulfovibrionaceae,Desulfovibrionales_unclassified,Dietziaceae,Enterobacteriaceae,Enterococcaceae,Erysipelotrichaceae,Erythrobacteraceae,Eubacteriaceae,Firmicutes_unclassified,Flavobacteriaceae,Fusobacteriaceae,Fusobacteriales_unclassified,Gammaproteobacteria_unclassified,Gemmatimonadaceae,Geobacteraceae,Geodermatophilaceae,Halomonadaceae,Helicobacteraceae,Holophagaceae,Hydrogenophilaceae,Hyphomicrobiaceae,Idiomarinaceae,Intrasporangiaceae,Lachnospiraceae,Lactobacillaceae,Lactobacillales_unclassified,Legionellaceae,Leptotrichiaceae,Leuconostocaceae,Listeriaceae,Methylobacteriaceae,Methylophilaceae,Microbacteriaceae,Micrococcaceae,Micromonosporaceae,Moraxellaceae,Mycobacteriaceae,Myxococcales_unclassified,Neisseriaceae,Nitrospiraceae,Nocardiaceae,Nocardioidaceae,Oceanospirillaceae,OD1_family_incertae_sedis,OP11_family_incertae_sedis,Opitutaceae,Oxalobacteraceae,Paenibacillaceae_1,Parachlamydiaceae,Pasteurellaceae,Pasteuriaceae,Patulibacteraceae,Peptococcaceae_1,Peptostreptococcaceae,Phyllobacteriaceae,Planctomycetaceae,Planococcaceae,Polyangiaceae,Porphyromonadaceae,Prevotellaceae,Propionibacteriaceae,Proteobacteria_unclassified,Pseudomonadaceae,Pseudonocardiaceae,Rhizobiaceae,Rhizobiales_unclassified,Rhodobacteraceae,Rhodocyclaceae,Rhodospirillaceae,Rhodospirillales_unclassified,Rikenellaceae,Ruminococcaceae,Salinisphaeraceae,Shewanellaceae,Sinobacteraceae,Solirubrobacteraceae,Solirubrobacterales_unclassified,Spartobacteria_family_incertae_sedis,Sphingobacteriaceae,Sphingobacteriales_unclassified,Sphingomonadaceae,Sphingomonadales_unclassified,Spirochaetaceae,SR1_family_incertae_sedis,Staphylococcaceae,Streptococcaceae,Subdivision3_family_incertae_sedis,Subdivision5_family_incertae_sedis,Succinivibrionaceae,Sutterellaceae,Synergistaceae,Thiotrichaceae,TM7_family_incertae_sedis,Veillonellaceae,Verrucomicrobia_unclassified,Verrucomicrobiaceae,Vibrionaceae,Xanthobacteraceae,Xanthomonadaceae
d1930_aebuf5_S127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,101,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,9,0,0,0
d1930_aebuf6_S128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d1930_aebuf7_S129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d1930_bead1_S123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4050,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21596,0,0,0,0,0,0,0,0,0,0,0,0,1252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d1930_bead2_S124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,811,818,0,0,0,0,0,0,3960,0,0,0,77,0,0,320,0,0,0,0,0,0,0,0,0,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,917,0,0,0,0,0,0,0,0,0
d1930_bead3_S125,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,83,0,0,0,0,0,268,0,0,0,0,0,0,0,0,3485,3818,0,0,0,0,0,0,0,0,0,0,1588,0,0,0,0,0,0,0,0,0,0,2740,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593,0,0,0,0,0,0,0,0,0,0,0,0,0,1919,8801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,893,0,0,0,0,0,0,0,0,0,0,0,0,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d1930_bead4_S126,0,0,0,0,0,0,0,0,0,0,0,0,0,3626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7822,0,0,0,0,0,0,0,0,0,0,3272,0,1046,0,0,0,0,640,0,0,0,0,0,0,0,0,0,848,0,0,0,0,0,0,0,0,0,0,0,0,477,0,0,1791,0,0,0,0,0,1298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10416,0,0,0,11942,0,254,0,0,0,0,0,6676,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d1930_bead5_S157,0,0,0,0,0,0,0,0,0,0,0,6941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130,0,0,0,0,0,0,0,0,6737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1792,0,0,12461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d1930_bead6_S158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,1312,0,0,0,0,0,7490,0,0,0,136,0,0,0,0,0,0,0,0,0,0,4221,0,0,0,0,0,0,0,0,0,0,9718,0,0,1297,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,73,0,0,0,0,0,0,0,0,0,0,0,0,0
d1930_bead7_S159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2058,0,0,0,15159,0,0,0,56,0,0,3363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7275,0,0,0,0,1633,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,3202,2024,0,0,154,0,0,0,0,0,0,0,0,0,0,716,0,0,0,0,0,0,0,8763,0,0,0,1102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0
